data	igpm	ipca	 pib 	expo	 imp 	bio	pet
2012.01	0.56	0.25	367215.40	16098.22	17589.77	193006.36	10993516.00
2012.02	0.45	-0.06	367177.30	17991.90	16441.25	214606.98	10166701.05
2012.03	0.21	0.43	392996.50	20887.44	19030.80	220871.82	10287593.78
2012.04	0.64	0.85	381795.30	19536.21	18838.79	182372.24	9641935.15
2012.05	0.36	1.02	400281.30	23202.76	20405.54	213020.86	10092616.66
2012.06	0.08	0.66	398714.50	19325.26	18698.17	214897.82	9695665.18
2012.07	0.43	1.34	414617.40	20991.92	18286.79	230340.29	9971773.02
2012.08	0.41	1.43	419906.30	22328.98	19292.63	254426.05	9877331.16
2012.09	0.57	0.97	393524.70	19982.81	17584.16	252242.54	9175222.41
2012.10	0.59	0.02	422672.10	21777.68	20247.38	251416.18	9912636.18
2012.11	0.60	-0.03	423816.40	20453.68	20813.73	245320.59	9752827.71
2012.12	0.79	0.68	423195.90	19706.38	17634.62	244961.76	10373349.52
2013.01	0.86	0.34	414131.80	15954.21	20135.61	226505.27	10121333.31
2013.02	0.60	0.29	398645.40	15517.00	16949.90	205738.14	8980299.01
2013.03	0.47	0.21	427409.80	19292.44	19296.31	230752.36	9130966.63
2013.04	0.55	0.15	438856.80	20599.13	21754.31	253591.02	9171082.71
2013.05	0.37	0.00	439054.20	21783.79	21197.59	245933.93	9824229.47
2013.06	0.26	0.75	442857.00	21089.48	18952.47	236440.99	10020725.97
2013.07	0.03	0.26	458458.90	20771.97	22834.33	260670.64	9731279.16
2013.08	0.24	0.15	452862.20	21366.90	20338.87	247610.47	9911444.95
2013.09	0.35	1.50	438766.70	20816.26	19004.70	252713.66	9987345.89
2013.10	0.57	0.86	466166.00	22771.63	23185.81	277992.01	10245378.71
2013.11	0.54	0.29	465693.80	20814.12	19278.14	265175.51	9926112.43
2013.12	0.92	0.60	473552.50	20800.35	18260.67	214364.27	10395815.23
2014.01	0.55	0.48	455935.00	15965.97	19853.38	245215.44	10116219.88
2014.02	0.69	0.38	450358.80	15847.75	18200.66	240528.55	9302575.52
2014.03	0.92	1.67	462159.80	17544.17	17685.38	271838.88	10441977.62
2014.04	0.67	0.78	468767.50	19636.34	19352.99	253224.47	10236310.55
2014.05	0.46	-0.13	473347.10	20662.59	20183.57	242525.61	10790535.08
2014.06	0.40	-0.74	458516.50	20379.14	18252.65	251517.29	10710183.07
2014.07	0.01	-0.61	481994.00	22939.50	21631.47	302971.29	11174550.88
2014.08	0.25	-0.27	477052.90	20376.99	19485.79	314532.08	11465497.78
2014.09	0.57	0.20	476520.60	19541.85	20665.42	312664.82	11249118.71
2014.10	0.42	0.28	493304.70	18235.50	19716.09	321602.68	11794527.72
2014.11	0.51	0.98	489484.40	15551.12	18274.68	316626.57	11245741.43
2014.12	0.78	0.62	499867.70	17416.82	17424.91	348962.24	12307869.92
2015.01	1.24	0.76	472913.90	13622.09	16486.74	319546.50	12171005.97
2015.02	1.22	0.27	460156.70	12017.10	15115.45	303594.39	10823538.00
2015.03	1.32	0.98	501752.20	16899.42	16745.11	322692.03	11893518.43
2015.04	0.71	1.17	486614.60	15063.97	14782.17	324526.23	11419328.13
2015.05	0.74	0.41	483239.70	16680.56	14214.40	338850.55	11888261.63
2015.06	0.79	0.67	486647.50	19593.17	15268.32	322185.27	11427871.00
2015.07	0.62	0.69	502275.20	18458.48	15823.79	341093.84	12153759.31
2015.08	0.22	0.28	492505.70	15366.11	12985.17	344037.80	12552588.19
2015.09	0.54	0.95	496004.70	16035.12	13383.76	330388.28	11424773.11
2015.10	0.82	1.89	518828.90	15946.80	14216.19	359165.72	11860457.91
2015.11	1.01	1.52	513819.80	13709.22	12783.78	324662.15	11349421.28
2015.12	0.96	0.49	521918.70	16684.82	10617.31	306525.79	12481024.96
2016.01	1.27	1.14	490284.00	11135.11	10487.87	271387.90	11597168.85
2016.02	0.90	1.29	491011.70	13317.07	10438.89	300065.39	10765923.55
2016.03	0.43	0.51	516985.90	15922.42	11681.40	323157.66	11159478.42
2016.04	0.61	0.33	508058.70	15302.00	10674.07	348485.12	10923090.88
2016.05	0.78	0.82	513267.50	17498.34	11276.09	328814.30	12257982.92
2016.06	0.35	1.69	536459.30	16647.29	12911.26	292772.39	12202867.40
2016.07	0.52	0.18	532947.80	16238.30	11913.38	337435.20	12733059.07
2016.08	0.44	0.15	534761.80	16938.90	13019.00	327183.08	12857464.79
2016.09	0.08	0.20	509975.00	15747.45	12140.63	313309.17	12741490.20
2016.10	0.26	0.16	525162.70	13664.16	11550.60	341024.12	12932062.03
2016.11	0.18	-0.03	541530.70	16148.91	11632.87	321559.97	12441671.62
2016.12	0.30	0.54	565780.50	15892.97	11689.91	296144.68	13454317.35
2017.01	0.38	0.64	526564.70	14861.14	12356.61	255360.69	13241003.60
2017.02	0.33	0.08	514120.50	15432.71	11057.34	259812.09	11910377.68
2017.03	0.25	0.01	544312.90	20048.34	13117.64	335069.06	12567783.53
2017.04	0.14	-1.10	525238.10	17630.15	10887.88	347603.11	12109928.19
2017.05	0.31	-0.93	548887.70	19740.02	12329.99	369315.73	13076945.87
2017.06	-0.23	-0.67	556787.60	19739.34	12780.81	359235.99	12757632.64
2017.07	0.24	-0.72	557458.20	18723.98	12669.48	387236.43	12927061.42
2017.08	0.19	0.10	555578.70	19429.64	14099.60	399996.84	12696405.09
2017.09	0.16	0.47	528871.20	18622.25	13700.88	398707.43	12651851.10
2017.10	0.42	0.20	549304.70	18816.76	13903.98	409343.99	12949555.92
2017.11	0.28	0.52	566209.30	16645.44	13398.99	386941.09	12375461.30
2017.12	0.44	0.89	588335.70	17552.89	12911.31	382671.30	12875354.24
2018.01	0.29	0.76	555209.10	16929.44	14529.43	337824.14	12889260.04
2018.02	0.32	0.07	528897.90	17274.59	14617.77	338420.01	11651491.61
2018.03	0.09	0.64	560610.80	20059.70	14096.70	452309.68	12603923.95
2018.04	0.22	0.57	560095.30	19778.21	14383.86	446137.13	12385403.33
2018.05	0.40	1.38	545973.90	19185.97	13626.96	383290.88	12851124.61
2018.06	1.26	1.87	580977.90	20149.00	14643.23	467077.25	12352575.39
2018.07	0.33	0.51	582054.50	22818.62	18918.35	489775.75	12691798.88
2018.08	-0.09	0.70	583076.50	21546.50	19137.35	486155.72	12428693.97
2018.09	0.48	1.52	551035.20	18987.93	14417.86	482326.96	11855956.65
2018.10	0.45	0.89	593158.30	21948.84	16474.98	500209.05	12884027.90
2018.11	-0.21	-0.49	606070.90	20860.37	17284.10	479066.19	12245479.58
2018.12	0.15	-1.08	627389.90	19494.88	13316.03	487443.64	13262950.26
