data	eta
2012.01	357769.36
2012.02	271719.41
2012.03	240362.50
2012.04	580224.10
2012.05	2119255.70
2012.06	2259493.08
2012.07	3467459.52
2012.08	3870227.69
2012.09	3519969.04
2012.10	3416353.80
2012.11	2448854.07
2012.12	1239272.36
2013.01	312568.32
2013.02	184482.54
2013.03	213899.02
2013.04	1571949.70
2013.05	3244126.91
2013.06	2862410.06
2013.07	3807840.00
2013.08	4087845.95
2013.09	3682776.69
2013.10	3364245.54
2013.11	2774333.34
2013.12	1430646.09
2014.01	326506.50
2014.02	239191.66
2014.03	371316.42
2014.04	1579617.20
2014.05	3255034.88
2014.06	3645531.36
2014.07	3514138.19
2014.08	4380490.46
2014.09	3730303.38
2014.10	3855539.82
2014.11	2215008.31
2014.12	1047617.19
2015.01	406930.59
2015.02	328086.28
2015.03	512877.24
2015.04	1853676.03
2015.05	3056215.49
2015.06	3708794.87
2015.07	3670778.73
2015.08	4615080.11
2015.09	3808490.42
2015.10	3930277.19
2015.11	2468883.13
2015.12	1656203.95
2016.01	508790.37
2016.02	340918.02
2016.03	918474.23
2016.04	2775814.84
2016.05	3270914.00
2016.06	3216114.00
2016.07	4128533.00
2016.08	3866657.73
2016.09	3686019.08
2016.10	3085005.44
2016.11	2030618.20
2016.12	864815.22
2017.01	309487.42
2017.02	255175.32
2017.03	640784.86
2017.04	1721141.77
2017.05	2871886.95
2017.06	3501841.33
2017.07	4423274.19
2017.08	3914925.02
2017.09	4367050.40
2017.10	3458566.11
2017.11	2192979.10
2017.12	953922.47
