data	igpm
2012.01	0.25
2012.02	-0.06
2012.03	0.43
2012.04	0.85
2012.05	1.02
2012.06	0.66
2012.07	1.34
2012.08	1.43
2012.09	0.97
2012.10	0.02
2012.11	-0.03
2012.12	0.68
2013.01	0.34
2013.02	0.29
2013.03	0.21
2013.04	0.15
2013.05	0.00
2013.06	0.75
2013.07	0.26
2013.08	0.15
2013.09	1.50
2013.10	0.86
2013.11	0.29
2013.12	0.60
2014.01	0.48
2014.02	0.38
2014.03	1.67
2014.04	0.78
2014.05	-0.13
2014.06	-0.74
2014.07	-0.61
2014.08	-0.27
2014.09	0.20
2014.10	0.28
2014.11	0.98
2014.12	0.62
2015.01	0.76
2015.02	0.27
2015.03	0.98
2015.04	1.17
2015.05	0.41
2015.06	0.67
2015.07	0.69
2015.08	0.28
2015.09	0.95
2015.10	1.89
2015.11	1.52
2015.12	0.49
2016.01	1.14
2016.02	1.29
2016.03	0.51
2016.04	0.33
2016.05	0.82
2016.06	1.69
2016.07	0.18
2016.08	0.15
2016.09	0.20
2016.10	0.16
2016.11	-0.03
2016.12	0.54
