data	ipca
2012.01	0.56
2012.02	0.45
2012.03	0.21
2012.04	0.64
2012.05	0.36
2012.06	0.08
2012.07	0.43
2012.08	0.41
2012.09	0.57
2012.10	0.59
2012.11	0.60
2012.12	0.79
2013.01	0.86
2013.02	0.60
2013.03	0.47
2013.04	0.55
2013.05	0.37
2013.06	0.26
2013.07	0.03
2013.08	0.24
2013.09	0.35
2013.10	0.57
2013.11	0.54
2013.12	0.92
2014.01	0.55
2014.02	0.69
2014.03	0.92
2014.04	0.67
2014.05	0.46
2014.06	0.40
2014.07	0.01
2014.08	0.25
2014.09	0.57
2014.10	0.42
2014.11	0.51
2014.12	0.78
2015.01	1.24
2015.02	1.22
2015.03	1.32
2015.04	0.71
2015.05	0.74
2015.06	0.79
2015.07	0.62
2015.08	0.22
2015.09	0.54
2015.10	0.82
2015.11	1.01
2015.12	0.96
2016.01	1.27
2016.02	0.90
2016.03	0.43
2016.04	0.61
2016.05	0.78
2016.06	0.35
2016.07	0.52
2016.08	0.44
2016.09	0.08
2016.10	0.26
2016.11	0.18
2016.12	0.30
