data	sld
2008.01	142.921
2008.02	204.963
2008.03	206.556
2008.04	294.522
2008.05	202.984
2008.06	309.442
2008.07	203.218
2008.08	239.123
2008.09	282.841
2008.10	61.401
2008.11	-40.821
2008.12	-654.946
2009.01	-101.748
2009.02	9.179
2009.03	34.818
2009.04	106.205
2009.05	131.557
2009.06	119.495
2009.07	138.402
2009.08	242.126
2009.09	252.617
2009.10	230.956
2009.11	246.695
2009.12	-415.192
2010.01	181.419
2010.02	209.425
2010.03	266.415
2010.04	305.068
2010.05	298.041
2010.06	212.952
2010.07	181.796
2010.08	299.415
2010.09	246.875
2010.10	204.804
2010.11	138.247
2010.12	-407.510
2011.01	152.091
2011.02	280.799
2011.03	92.675
2011.04	272.225
2011.05	252.067
2011.06	215.393
2011.07	140.563
2011.08	190.446
2011.09	209.078
2011.10	126.143
2011.11	42.735
2011.12	-408.172
2012.01	118.895
2012.02	150.600
2012.03	111.746
2012.04	216.974
2012.05	139.679
2012.06	120.440
2012.07	142.496
2012.08	100.938
2012.09	150.334
2012.10	66.988
2012.11	46.095
2012.12	-496.944
2013.01	28.900
2013.02	123.446
2013.03	112.450
2013.04	196.913
2013.05	72.028
2013.06	123.836
2013.07	41.463
2013.08	127.648
2013.09	211.068
2013.10	94.893
2013.11	47.486
2013.12	-449.444
2014.01	29.595
2014.02	260.823
2014.03	13.117
2014.04	105.384
2014.05	58.836
2014.06	25.363
2014.07	11.796
2014.08	101.425
2014.09	123.783
2014.10	-30.282
2014.11	8.381
2014.12	-555.508
2015.01	-81.774
2015.02	-2.415
2015.03	19.282
2015.04	-97.828
2015.05	-115.599
2015.06	-111.199
2015.07	-157.905
2015.08	-86.543
2015.09	-95.602
2015.10	-169.131
2015.11	-130.629
2015.12	-596.208
2016.01	-99.694
2016.02	-104.582
2016.03	-118.776
2016.04	-62.844
2016.05	-72.615
2016.06	-91.032
2016.07	-94.724
2016.08	-33.953
2016.09	-39.282
2016.10	-74.748
2016.11	-116.747
2016.12	-462.366
2017.01	-40.864
2017.02	35.612
2017.03	-63.624
2017.04	59.856
2017.05	34.253
2017.06	9.821
2017.07	35.900
2017.08	35.457
2017.09	34.392
2017.10	76.599
2017.11	-12.292
2017.12	-328.539
2018.01	77.822
2018.02	61.188
2018.03	56.151
2018.04	115.898
2018.05	33.659
2018.06	-661
2018.07	47.319
2018.08	110.431
2018.09	137.336
2018.10	57.733
2018.11	58.664
2018.12	-334.462
