data	uti
1992.01	69.4735
1992.02	70.4062
1992.03	70.6898
1992.04	71.2810
1992.05	72.4020
1992.06	72.8605
1992.07	73.6562
1992.08	73.2473
1992.09	73.4429
1992.10	74.9808
1992.11	74.0279
1992.12	71.0253
1993.01	72.6875
1993.02	72.6390
1993.03	75.3550
1993.04	74.7594
1993.05	75.7264
1993.06	75.9943
1993.07	75.7353
1993.08	75.9103
1993.09	75.8405
1993.10	76.8061
1993.11	77.0332
1993.12	74.2911
1994.01	75.0667
1994.02	74.2716
1994.03	76.5636
1994.04	74.4613
1994.05	75.6180
1994.06	75.9293
1994.07	76.2918
1994.08	78.6685
1994.09	79.3067
1994.10	79.9950
1994.11	80.4369
1994.12	78.8998
1995.01	79.4547
1995.02	78.6105
1995.03	81.3941
1995.04	78.1353
1995.05	78.9825
1995.06	77.7389
1995.07	76.9327
1995.08	77.6414
1995.09	76.5291
1995.10	77.8671
1995.11	77.6750
1995.12	75.5973
1996.01	75.6054
1996.02	76.4213
1996.03	77.9363
1996.04	77.1061
1996.05	78.3762
1996.06	77.5252
1996.07	78.8368
1996.08	79.1389
1996.09	79.3705
1996.10	79.9226
1996.11	80.0263
1996.12	77.9642
1997.01	77.9365
1997.02	76.7330
1997.03	78.2706
1997.04	78.9793
1997.05	79.0618
1997.06	78.9261
1997.07	79.5971
1997.08	79.2407
1997.09	80.2598
1997.10	80.2320
1997.11	79.4478
1997.12	75.6569
1998.01	77.4032
1998.02	77.3714
1998.03	78.8411
1998.04	78.2696
1998.05	79.3235
1998.06	78.9831
1998.07	79.5106
1998.08	79.4910
1998.09	79.2954
1998.10	78.8202
1998.11	77.7767
1998.12	73.6616
1999.01	73.8175
1999.02	74.9515
1999.03	77.9627
1999.04	77.7896
1999.05	80.2026
1999.06	78.6676
1999.07	78.4049
1999.08	78.9732
1999.09	79.0981
1999.10	79.7757
1999.11	80.2822
1999.12	78.6421
2000.01	78.4081
2000.02	80.2825
2000.03	80.4376
2000.04	79.8560
2000.05	80.9112
2000.06	80.4752
2000.07	80.9517
2000.08	81.8376
2000.09	81.2124
2000.10	81.9383
2000.11	82.1974
2000.12	79.9584
2001.01	80.3601
2001.02	80.4240
2001.03	81.8834
2001.04	81.0305
2001.05	81.8030
2001.06	80.7130
2001.07	80.1532
2001.08	80.7427
2001.09	80.2745
2001.10	80.7231
2001.11	80.0987
2001.12	76.6717
2002.01	79.1239
2002.02	79.3776
2002.03	81.2769
2002.04	81.7484
2002.05	81.3082
2002.06	80.6683
2002.07	81.4630
2002.08	82.0591
2002.09	81.6043
2002.10	82.5083
2002.11	81.3883
2002.12	79.6149
2003.01	79.5000
2003.02	79.2000
2003.03	79.8000
2003.04	79.3000
2003.05	80.2000
2003.06	79.6000
2003.07	79.2000
2003.08	79.9000
2003.09	80.6000
2003.10	80.7000
2003.11	80.2000
2003.12	78.5000
2004.01	78.9000
2004.02	79.1000
2004.03	81.3000
2004.04	81.1000
2004.05	81.6000
2004.06	82.4000
2004.07	82.9000
2004.08	83.5000
2004.09	83.8000
2004.10	83.8000
2004.11	83.0000
2004.12	81.3000
2005.01	81.0000
2005.02	81.1000
2005.03	82.6000
2005.04	81.9000
2005.05	82.2000
2005.06	82.4000
2005.07	81.9000
2005.08	82.7000
2005.09	81.8000
2005.10	82.6000
2005.11	82.7000
2005.12	80.3000
2006.01	79.5000
2006.02	80.3000
2006.03	81.3000
2006.04	80.1000
