Trans	Tempo	Evento	Falha	Turno	Minerio	Vagoes	Taxa	Ton	Equip	Area
2605	10	0	3	1	3	21	6412.21374	2137.40458	3	2
2604	51	0	3	3	4	9	2338.333333	896.3611111	3	2
2602	81	1	7	1	1	39	8057.142857	4028.571429	3	2
1359	115	0	3	1	2	15	7331.2042	1547.617207	1	1
1414	89	0	3	3	3	19	6135.6633	1976.910715	3	2
1534	140	0	2	2	2	18	7270	1817.5	3	2
1517	94	0	2	2	3	39	6757.7796	4031.691309	3	2
1384	156	1	7	3	1	36	9482.3941	3724.684402	2	1
1383	200	0	3	3	4	12	5766.8325	1201.23121	3	2
2603	201	1	1	2	2	29	7101.1978	3018.009065	3	2
1321	178	1	7	1	3	23	6211.3052	2380.793283	3	2
2601	242	0	3	1	2	82	7200.2395	8479.722059	3	2
1356	277	1	6	1	1	12	7751.7514	1227.102247	1	1
1525	282	0	2	2	2	32	7023.529412	3277.647059	3	2
1508	291	0	2	1	4	23	4014.5628	2358.555645	3	2
1518	229	1	7	3	3	18	6343.9934	1903.19802	3	2
1385	316	1	1	3	2	24	7149.9647	2472.457793	3	2
1419	317	0	2	1	4	26	5223.5388	2652.513003	4	2
1323	323	0	3	1	1	35	7808.443385	3643.419683	1	1
1365	326	1	7	2	4	15	5526.1151	1577.15325	3	2
1307	328	0	3	2	1	11	7778.543077	1166.781462	1	1
1502	264	1	7	2	3	19	6171.428571	1954.285714	4	2
1536	539	1	7	1	2	92	7147.689	9440.667631	3	2
1533	342	1	1	2	4	20	5832.137	2087.321832	3	2
1389	276	1	7	1	3	29	6568.2193	3033.860495	3	2
1501	347	0	2	3	4	18	5630.2651	1874.315252	3	2
2606	358	0	2	2	2	22	7200	2280	3	2
1101	360	1	1	2	2	79	6883.58	8145.569667	1	1
1381	310	0	3	2	3	28	6503.5361	2842.045276	3	2
1313	384	0	3	3	4	43	5636.5907	4402.740996	3	2
1509	391	1	7	3	1	106	7382.4271	10950.35412	3	2
1364	393	1	7	1	1	85	8646.1098	8789.635223	1	1
1306	898	1	6	1	1	122	8351.3437	12554.57498	1	1
1412	411	0	3	3	2	42	7150	4290	3	2
1360	418	0	2	1	1	44	8020.0482	4544.69398	1	1
1539	351	1	7	3	3	41	6708.9432	4248.773729	3	2
1382	422	0	3	3	1	19	7972.2777	1916.535559	2	1
1526	232	0	2	2	4	23	5869.5348	2412.965756	3	2
1103	234	1	6	2	1	173	7980.84	17823.876	1	1
1107	444	1	7	1	1	24	9180.417143	2448.111238	1	1
1361	244	0	2	2	1	31	8157.0606	3235.090234	1	1
1304	446	0	3	1	1	86	8275.6184	8827.271123	1	1
1524	383	0	2	3	3	28	6352.1686	2928.984941	3	2
1312	456	0	2	1	2	90	6855.2762	9254.62287	4	2
1314	395	1	1	2	3	20	6535.4035	2069.108748	1	1
1418	466	1	1	3	4	17	5088.8057	1735.791624	4	2
1302	491	1	7	1	NA	0	NA	0	1	1
1393	491	0	2	3	1	20	7767.793	2039.045663	3	2
1505	291	0	3	2	4	59	5431.4247	6089.170231	4	2
1316	298	0	4	2	1	6	7928.917241	660.4788062	1	1
1516	248	0	2	3	3	38	6753.8825	3951.696651	4	2
1507	249	0	2	1	3	40	6017.2522	4086.315969	4	2
1510	459	0	3	3	3	15	6383.8141	1574.248557	3	2
1402	701	1	1	3	4	23	4899.8986	2376.450821	4	2
1329	502	1	7	1	1	31	8097.8044	3148.426351	1	1
1357	505	0	3	1	1	46	7866.3711	4719.82266	1	1
1305	434	0	3	3	3	107	6734.2923	11055.01424	3	2
