data	Expo	Infla	PIB
2017.01	128.80	0.64	526564.70
2017.02	129.60	0.08	514120.50
2017.03	131.70	0.01	544312.90
2017.04	129.90	-1.10	525238.10
2017.05	125.30	-0.93	548887.70
2017.06	123.70	-0.67	556787.60
2017.07	120.60	-0.72	557458.20
2017.08	121.50	0.10	555578.70
2017.09	125.60	0.47	528871.20
2017.10	128.60	0.20	549304.70
2017.11	126.60	0.52	566209.30
2017.12	129.20	0.89	588892.80
2018.01	131.30	0.76	555644.60
2018.02	132.40	0.07	528905.50
2018.03	133.40	0.64	560120.70
2018.04	135.70	0.57	559359.80
2018.05	134.70	1.38	547016.50
2018.06	134.50	1.87	580697.80
2018.07	135.60	0.51	583054.80
2018.08	132.50	0.70	582756.70
2018.09	132.60	1.52	550382.10
2018.10	135.30	0.89	587257.90
2018.11	132.70	-0.49	590566.30
2018.12	129.10	-1.08	601830.70
2019.01	128.70	0.01	575268.80
2019.02	126.10	0.88	563804.70
2019.03	128.50	1.26	574542.70
2019.04	129.90	0.92	586428.10
2019.05	130.60	0.45	599681.10
2019.06	130.20	0.80	594163.00
2019.07	132.40	0.40	619395.20
2019.08	131.60	-0.67	603944.80
2019.09	125.80	-0.01	566361.60
